log_id,contents_id,contents_name,description,device_code,marker_color,marker_position,marker_text,memo_text,operation_date,operation_name,page_no,process_code,user_id,user_id2,user_id3,version
67058,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,,,,,,2018/4/25 01:20,REGIST CONTENTS,22,,angelashih@Moodle,angelashih,angelashih,1
67069,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,OPEN,1,23,angelashih@Moodle,angelashih,angelashih,1
67070,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,NEXT,1,3,angelashih@Moodle,angelashih,angelashih,1
67071,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,ADD BOOKMARK,2,4,angelashih@Moodle,angelashih,angelashih,1
67072,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,NEXT,2,3,angelashih@Moodle,angelashih,angelashih,1
67074,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,NEXT,3,3,angelashih@Moodle,angelashih,angelashih,1
67075,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,ADD BOOKMARK,4,4,angelashih@Moodle,angelashih,angelashih,1
67076,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,3,pc,,,,,2018/4/25 01:22,BOOKMARK_JUMP,4,15,angelashih@Moodle,angelashih,angelashih,1
67077,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,DELETE BOOKMARK,4,6,angelashih@Moodle,angelashih,angelashih,1
67079,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,1,pc,,,,,2018/4/25 01:22,BOOKMARK_JUMP,4,15,angelashih@Moodle,angelashih,angelashih,1
67081,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,DELETE BOOKMARK,2,6,angelashih@Moodle,angelashih,angelashih,1
67083,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,NEXT,2,3,angelashih@Moodle,angelashih,angelashih,1
67084,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:22,ADD BOOKMARK,3,4,angelashih@Moodle,angelashih,angelashih,1
67086,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,"rgb(255,255,0)","150,118,410,36,931,524",Colonial flagellate hypothesis,,2018/4/25 01:23,ADD MARKER,3,16,angelashih@Moodle,angelashih,angelashih,1
67088,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,"rgb(255,0,0)","174,192,583,103,931,000",Animals descended from an ancestor that resembled a hollow spherical colony of flagellated cells.,,2018/4/25 01:23,ADD MARKER,3,16,angelashih@Moodle,angelashih,angelashih,1
67090,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:23,NEXT,3,3,angelashih@Moodle,angelashih,angelashih,1
67091,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,3-1_506-193-930-522,pc,,,,多細胞生物,2018/4/25 01:23,ADD MEMO,4,19,angelashih@Moodle,angelashih,angelashih,1
67092,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,3-1_506-193-930-522,pc,,,,多細胞生物,2018/4/25 01:24,CHANGE MEMO,4,20,angelashih@Moodle,angelashih,angelashih,1
67096,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,NEXT,4,3,angelashih@Moodle,angelashih,angelashih,1
67097,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,NEXT,5,3,angelashih@Moodle,angelashih,angelashih,1
67098,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,ADD BOOKMARK,6,4,angelashih@Moodle,angelashih,angelashih,1
67099,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,NEXT,6,3,angelashih@Moodle,angelashih,angelashih,1
67100,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,NEXT,7,3,angelashih@Moodle,angelashih,angelashih,1
67101,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,NEXT,7,3,angelashih@Moodle,angelashih,angelashih,1
67103,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,NEXT,8,3,angelashih@Moodle,angelashih,angelashih,1
67104,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:25,ADD BOOKMARK,9,4,angelashih@Moodle,angelashih,angelashih,1
67126,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:28,CLOSE,9,24,angelashih@Moodle,angelashih,angelashih,1
67133,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,,,,,,2018/4/25 01:30,REGIST CONTENTS,22,,angelashih@Moodle,angelashih,angelashih,2
67156,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:31,OPEN,1,23,angelashih@Moodle,angelashih,angelashih,2
67163,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,8,pc,,,,,2018/4/25 01:32,BOOKMARK_JUMP,1,15,angelashih@Moodle,angelashih,angelashih,2
67165,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:32,DELETE BOOKMARK,9,6,angelashih@Moodle,angelashih,angelashih,2
67168,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,5,pc,,,,,2018/4/25 01:32,BOOKMARK_JUMP,9,15,angelashih@Moodle,angelashih,angelashih,2
67169,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:32,DELETE BOOKMARK,6,6,angelashih@Moodle,angelashih,angelashih,2
67171,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,2,pc,,,,,2018/4/25 01:32,BOOKMARK_JUMP,6,15,angelashih@Moodle,angelashih,angelashih,2
67172,06409663226af2f3114485aa4e0a23b4,1062_YCS_Biology_CH19,,pc,,,,,2018/4/25 01:32,DELETE BOOKMARK,3,6,angelashih@Moodle,angelashih,angelashih,2
