,sequeNce,O,N,P,D,A,F,B,G,C,J,S,E,H
sequeNce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,364.0,5.0,3.0,3.0,0.0,3.0,0.0,34.0,35.0,0.0,1.0,0.0
N,0.0,364.0,14910.0,1134.0,379.0,1925.0,18.0,278.0,3.0,86.0,140.0,10.0,205.0,5.0
P,0.0,5.0,1134.0,2668.0,77.0,196.0,23.0,34.0,1.0,17.0,28.0,5.0,37.0,5.0
D,0.0,3.0,379.0,77.0,10.0,77.0,5.0,25.0,1.0,6.0,14.0,0.0,18.0,29.0
A,0.0,3.0,1925.0,196.0,77.0,2536.0,317.0,210.0,1.0,10.0,22.0,2.0,376.0,7.0
F,0.0,0.0,18.0,23.0,5.0,317.0,118.0,5.0,1.0,1.0,2.0,1.0,10.0,3.0
B,0.0,3.0,278.0,34.0,25.0,210.0,5.0,34.0,14.0,2.0,11.0,2.0,75.0,1.0
G,0.0,0.0,3.0,1.0,1.0,1.0,1.0,14.0,2.0,0.0,1.0,0.0,3.0,1.0
C,0.0,34.0,86.0,17.0,6.0,10.0,1.0,2.0,0.0,16.0,16.0,0.0,1.0,2.0
J,0.0,35.0,140.0,28.0,14.0,22.0,2.0,11.0,1.0,16.0,446.0,4.0,23.0,10.0
S,0.0,0.0,10.0,5.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,16.0,0.0,0.0
E,0.0,1.0,205.0,37.0,18.0,376.0,10.0,75.0,3.0,1.0,23.0,0.0,324.0,2.0
H,0.0,0.0,5.0,5.0,29.0,7.0,3.0,1.0,1.0,2.0,10.0,0.0,2.0,0.0
