,sequeNce,O,N,P,D,A,F,B,G,C,J,S,E,H
sequeNce,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,364,5,3,3,0,3,0,34,35,0,1,0
N,0,0,7455,642,192,962,3,158,2,83,69,5,60,1
P,0,0,492,1334,49,124,11,22,1,16,15,4,24,4
D,0,0,187,28,5,43,2,16,0,6,10,0,4,18
A,0,0,963,72,34,1268,168,111,0,10,6,1,199,2
F,0,0,15,12,3,149,59,5,0,1,1,0,5,1
B,0,0,120,12,9,99,0,17,7,2,6,0,70,1
G,0,0,1,0,1,1,1,7,1,0,1,0,0,1
C,0,0,3,1,0,0,0,0,0,8,3,0,0,0
J,0,0,71,13,4,16,1,5,0,13,223,2,13,6
S,0,0,5,1,0,1,1,2,0,0,2,8,0,0
E,0,0,145,13,14,177,5,5,3,1,10,0,162,1
H,0,0,4,1,11,5,2,0,0,2,4,0,1,0
