,OPENBOOKMARK_JUMP,BOOKMARK_JUMPDELETE BOOKMARK,DELETE BOOKMARKBOOKMARK_JUMP,DELETE BOOKMARKNEXT,NEXTADD BOOKMARK,ADD BOOKMARKPREV,PREVNEXT,NEXTCHANGE MEMO,CHANGE MEMONEXT,ADD BOOKMARKNEXT,NEXTADD MARKER,ADD MARKERNEXT,NEXTPREV,PREVADD MEMO,ADD MEMOADD MARKER,ADD MARKERDELETE MARKER,DELETE MARKERNEXT,NEXTDELETE BOOKMARK,DELETE BOOKMARKADD BOOKMARK,ADD MARKERCLOSE,OPENCLOSE,CLOSEREGIST CONTENTS,OPENNEXT,PREVCLOSE,OPENLINK_CLICK,LINK_CLICKNEXT,NEXTREGIST CONTENTS,NEXTCLOSE,OPENPREV,NEXTADD MEMO,ADD MEMODELETE_MEMO,DELETE_MEMOADD MEMO,ADD BOOKMARKCLOSE,CLOSEBOOKMARK_JUMP,BOOKMARK_JUMPPREV,NEXTBOOKMARK_JUMP,NEXTPAGE_JUMP,PAGE_JUMPCLOSE,OPENPAGE_JUMP,PREVADD MARKER,DELETE MARKERADD MARKER,DELETE_MEMOADD BOOKMARK,PREVADD BOOKMARK,CLOSENEXT,PAGE_JUMPADD BOOKMARK,ADD BOOKMARKPAGE_JUMP,ADD BOOKMARKBOOKMARK_JUMP,BOOKMARK_JUMPCLOSE,PAGE_JUMPNEXT,PREVSEARCH,SEARCHPREV,ADD MARKERADD MEMO,ADD MEMOCHANGE MEMO,PREVCHANGE MEMO,ADD MEMONEXT,ADD BOOKMARKADD MEMO,ADD MARKERPREV,PREVBOOKMARK_JUMP,BOOKMARK_JUMPNEXT,PAGE_JUMPADD MARKER,CHANGE MEMOPREV,SEARCHSEARCH_JUMP,SEARCH_JUMPADD MARKER,ADD MARKERBOOKMARK_JUMP,BOOKMARK_JUMPPAGE_JUMP,PAGE_JUMPPREV,ADD MARKERADD BOOKMARK,ADD BOOKMARKADD MARKER,DELETE MARKERADD BOOKMARK,ADD BOOKMARKDELETE BOOKMARK,DELETE BOOKMARKCLOSE,ADD MARKERCHANGE MEMO,CHANGE MEMOADD MARKER,BOOKMARK_JUMPCHANGE MEMO,CHANGE MEMOBOOKMARK_JUMP,PREVDELETE MARKER,DELETE MARKERPREV,DELETE MARKERCHANGE MEMO,CHANGE MEMODELETE MARKER,ADD MEMOADD BOOKMARK,CHANGE MEMOADD BOOKMARK,CHANGE MEMODELETE BOOKMARK,BOOKMARK_JUMPADD MARKER,ADD BOOKMARKCHANGE MEMO,ADD MEMOBOOKMARK_JUMP,BOOKMARK_JUMPADD MEMO,BOOKMARK_JUMPDELETE MARKER,OPENADD BOOKMARK,DELETE BOOKMARKADD MARKER,NEXTDELETE MARKER,NEXTSEARCH,SEARCHNEXT,OPENADD MEMO,ADD MEMOMEMO_JUMP,MEMO_JUMPCLOSE,OPENMEMO_JUMP,MEMO_JUMPPREV,MEMO_JUMPADD MEMO,DELETE_MEMODELETE BOOKMARK,ADD BOOKMARKMEMO_JUMP,PREVMEMO_JUMP,MEMO_JUMPPAGE_JUMP,DELETE MARKERMEMO_JUMP,MEMO_JUMPSEARCH,MEMO_JUMPNEXT,PREVDELETE BOOKMARK,DELETE BOOKMARKMEMO_JUMP,CHANGE MEMOADD MEMO,PREVPAGE_JUMP,DELETE MARKERADD MEMO,OPENADD MARKER,ADD MEMOPREV,PAGE_JUMPBOOKMARK_JUMP,NEXTDELETE_MEMO,ADD MEMOCLOSE,CLOSEPAGE_JUMP,CLOSEPREV,PAGE_JUMPADD MEMO,ADD MEMOPAGE_JUMP,DELETE MARKERCLOSE,SEARCHADD MEMO,DELETE_MEMOADD MARKER,ADD MEMODELETE BOOKMARK,DELETE BOOKMARKCHANGE MEMO,ADD MARKERDELETE BOOKMARK,PAGE_JUMPSEARCH,CHANGE MEMODELETE_MEMO,DELETE_MEMOPAGE_JUMP,DELETE_MEMODELETE MARKER,ADD BOOKMARKDELETE MARKER,ADD MARKERSEARCH,SEARCHDELETE MARKER,OPENCHANGE MEMO,PREVDELETE_MEMO,DELETE_MEMONEXT,DELETE BOOKMARKPREV,SEARCH_JUMPCLOSE,CHANGE MEMOCLOSE,DELETE BOOKMARKDELETE MARKER,DELETE MARKERDELETE BOOKMARK,SEARCHADD MARKER,ADD MARKERPAGE_JUMP,SEARCH_JUMPNEXT,REGIST CONTENTSOPEN,REGIST CONTENTSNEXT
OPENBOOKMARK_JUMP,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOOKMARK_JUMPDELETE BOOKMARK,2.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELETE BOOKMARKBOOKMARK_JUMP,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELETE BOOKMARKNEXT,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEXTADD BOOKMARK,0.0,0.0,0.0,1.0,0.0,25.0,46.0,0.0,11.0,321.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADD BOOKMARKPREV,0.0,0.0,0.0,0.0,25.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PREVNEXT,0.0,0.0,0.0,0.0,46.0,19.0,0.0,14.0,0.0,0.0,110.0,0.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,6.0,26.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEXTCHANGE MEMO,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,80.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGE MEMONEXT,0.0,0.0,0.0,0.0,11.0,0.0,0.0,80.0,0.0,0.0,51.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD BOOKMARKNEXT,0.0,0.0,0.0,0.0,321.0,0.0,0.0,1.0,0.0,0.0,66.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
