,sequence,O,N,A,P,F,C,D,H,B,E,J,G,L,S
sequence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,2068.0,42.0,78.0,0.0,249.0,15.0,0.0,18.0,27.0,150.0,3.0,0.0,0.0
N,0.0,2068.0,96556.0,2266.0,13633.0,149.0,860.0,1000.0,61.0,1098.0,2153.0,993.0,57.0,2.0,15.0
A,0.0,42.0,2266.0,1816.0,582.0,352.0,24.0,152.0,9.0,187.0,103.0,51.0,6.0,0.0,0.0
P,0.0,78.0,13633.0,582.0,38402.0,96.0,192.0,345.0,23.0,380.0,667.0,469.0,9.0,4.0,6.0
F,0.0,0.0,149.0,352.0,96.0,200.0,9.0,12.0,3.0,9.0,12.0,5.0,0.0,0.0,0.0
C,0.0,249.0,860.0,24.0,192.0,9.0,210.0,12.0,0.0,33.0,33.0,71.0,3.0,0.0,3.0
D,0.0,15.0,1000.0,152.0,345.0,12.0,12.0,44.0,69.0,75.0,51.0,59.0,0.0,0.0,0.0
H,0.0,0.0,61.0,9.0,23.0,3.0,0.0,69.0,12.0,6.0,0.0,75.0,3.0,0.0,3.0
B,0.0,18.0,1098.0,187.0,380.0,9.0,33.0,75.0,6.0,390.0,304.0,58.0,64.0,0.0,0.0
E,0.0,27.0,2153.0,103.0,667.0,12.0,33.0,51.0,0.0,304.0,1492.0,130.0,21.0,0.0,0.0
J,0.0,150.0,993.0,51.0,469.0,5.0,71.0,59.0,75.0,58.0,130.0,1792.0,9.0,0.0,12.0
G,0.0,3.0,57.0,6.0,9.0,0.0,3.0,0.0,3.0,64.0,21.0,9.0,0.0,0.0,3.0
L,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,15.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,12.0,3.0,0.0,36.0
